Service,Resource,Resource Name,Issue,Severity,Recommendation
EC2,sg-0f4beaeefbfc24288,project4-web-sg,Security group open to internet on port(s): 80,Medium,Allow only if this is intentionally a public web service.
EC2,sg-0f4beaeefbfc24288,project4-web-sg,Security group open to internet on port(s): 8080,High,Restrict access to trusted IP ranges.
EC2,sg-0f4beaeefbfc24288,project4-web-sg,Security group open to internet on port(s): 22,High,Restrict administrative access to trusted IP addresses only.
EC2,sg-091c89d8f83af647b,launch-wizard-5,Security group open to internet on port(s): 80,Medium,Allow only if this is intentionally a public web service.
EC2,sg-091c89d8f83af647b,launch-wizard-5,Security group open to internet on port(s): 1515,High,Restrict access to trusted IP ranges.
EC2,sg-091c89d8f83af647b,launch-wizard-5,Security group open to internet on port(s): 22,High,Restrict administrative access to trusted IP addresses only.
EC2,sg-091c89d8f83af647b,launch-wizard-5,Security group open to internet on port(s): 1514,High,Restrict access to trusted IP ranges.
EC2,sg-091c89d8f83af647b,launch-wizard-5,Security group open to internet on port(s): 443,Medium,Allow only if this is intentionally a public web service.
EC2,sg-091c89d8f83af647b,launch-wizard-5,Security group open to internet on port(s): 55000,High,Restrict access to trusted IP ranges.
EC2,sg-0d9c2d1b6759e57c9,launch-wizard-1,Security group open to internet on port(s): 22,High,Restrict administrative access to trusted IP addresses only.
EC2,sg-09800441b3126ed8e,launch-wizard-6,Security group open to internet on port(s): 80,Medium,Allow only if this is intentionally a public web service.
EC2,sg-09800441b3126ed8e,launch-wizard-6,Security group open to internet on port(s): 1515,High,Restrict access to trusted IP ranges.
EC2,sg-09800441b3126ed8e,launch-wizard-6,Security group open to internet on port(s): 22,High,Restrict administrative access to trusted IP addresses only.
EC2,sg-09800441b3126ed8e,launch-wizard-6,Security group open to internet on port(s): 1514,High,Restrict access to trusted IP ranges.
EC2,sg-09800441b3126ed8e,launch-wizard-6,Security group open to internet on port(s): 443,Medium,Allow only if this is intentionally a public web service.
EC2,sg-09800441b3126ed8e,launch-wizard-6,Security group open to internet on port(s): 55000,High,Restrict access to trusted IP ranges.
EC2,sg-05c8146a8c7a9d2e6,launch-wizard-2,Security group open to internet on port(s): 80,Medium,Allow only if this is intentionally a public web service.
EC2,sg-05c8146a8c7a9d2e6,launch-wizard-2,Security group open to internet on port(s): 0-65535,High,Review whether this port range really needs public access.
